Name,Mid X,Mid Y,Layer,Rotation
R13,591.38,306.7,Top,180
R25,591.38,300.8,Top,180
R26,591.38,294.8,Top,180
R27,591.52,288,Top,0
J8,609.1,296.9,Top,90
J7,606,177.33,Top,0
J1,395.4,204.1,Top,270
J2,434.75,177.61,Top,0
J5,570.35,177.71,Top,0
IC5,532.7,242.6,Top,0
SJ1,527.3,199.8,Top,0
SJ2,527.2,195.8,Top,0
SJ3,527.3,192.2,Top,0
SJ4,527.6,179.6,Top,0
SJ5,527.4,183.33,Top,0
SJ6,527.3,187.7,Top,0
SJ7,410.4,300.7,Top,0
SJ8,410.3,303.7,Top,0
SJ9,452.2,285.3,Top,0
D1,529.5,297.6,Top,0
D2,617.2,216.4,Top,180
IC4,500.35,218.45,Top,0
C32,505.1,247.2,Top,0
C41,521.3,314.5,Top,0
C42,521.4,309.3,Top,0
C43,521.4,304.2,Top,0
C44,521.5,299.2,Top,0
C53,407.9,313,Top,0
J3,485.14,236.22,Top,0
IC3,497.9,295.2,Top,0
IC13,532.7,250.8,Top,0
C15,604.7,275.3,Top,0
C18,613.3,275.1,Top,0
C48,541.2,301.4,Top,180
X1,476.8,218.4,Top,0
LD1,499.2,247.2,Top,0
LD2,407.6,318.3,Top,0
